,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,LastNameNum,TicketSibling,isParent,isEnfant,AgeBin,FareBin,IsAlone,FamilySize,Servant,parentSurvived,childrenSurvived,parentDied,childrenDied,SiblingDied,SiblingSurvived
train,1,0.0,3,1,-0.5785059922809677,1,0,719,-0.9994325698551931,2,4,100,1,0.0,0.0,1,0,0,2,0,0,0,0,0,0,0
train,2,1.0,1,0,0.6237788118783855,1,0,815,1.393959681628363,0,5,182,2,0.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,3,1.0,3,0,-0.2779347912411294,0,0,913,-0.9127086512392576,2,3,329,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,4,1.0,1,0,0.3983504110985067,1,0,64,1.074427242873678,2,5,267,2,0.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,5,0.0,3,1,0.3983504110985067,0,0,648,-0.8973710928725647,2,4,15,1,0.0,0.0,2,1,1,1,0,0,0,0,0,0,0
train,6,0.0,3,1,0.022636409798708873,0,0,372,-0.8487089276137638,1,4,538,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,7,0.0,1,1,1.8260636160377386,0,0,108,1.0489095647809525,2,4,500,2,0.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,8,0.0,3,1,-2.081361997480159,3,1,540,0.08593249815060405,2,2,608,5,0.0,1.0,0,2,0,5,0,0,0,1,0,3,0
train,9,1.0,3,0,-0.20279199098116985,0,2,476,-0.5740561612994706,2,5,382,3,1.0,0.0,1,1,0,3,0,0,2,0,0,0,0
train,10,1.0,2,0,-1.1796483943606442,1,0,173,0.4628784206400741,0,5,559,2,0.0,0.0,1,3,0,2,0,0,0,0,0,0,0
train,11,1.0,3,0,-1.93107639696024,1,1,838,-0.1576447322124846,2,3,707,3,0.0,1.0,0,2,0,3,0,1,0,0,0,0,1
train,12,1.0,1,0,2.126634817077577,0,0,49,0.3302548388622302,2,3,86,1,0.0,0.0,2,3,1,1,0,0,0,0,0,0,0
train,13,0.0,3,1,-0.7287915928008868,0,0,732,-0.8973710928725647,2,4,709,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,14,0.0,3,1,0.698921612138345,1,5,458,0.5048100013229886,2,4,21,7,1.0,0.0,2,3,0,7,0,0,0,0,1,0,0
train,15,0.0,3,0,-1.1796483943606442,0,0,565,-0.9214914200619991,2,3,821,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,16,1.0,2,0,1.901206416297698,0,0,203,-0.20214223108271204,2,5,336,1,0.0,0.0,2,2,1,1,0,0,0,0,0,0,0
train,17,0.0,3,1,-2.081361997480159,4,1,658,0.4287889396079731,1,2,664,6,0.0,1.0,0,3,0,6,0,0,0,1,0,4,0
train,18,1.0,2,1,0.022636409798708873,0,0,200,-0.4162482943735053,2,4,850,1,0.0,0.0,1,2,1,1,0,0,0,0,0,0,0
train,19,0.0,3,0,0.09777921005866845,1,0,416,-0.07948786500995716,2,5,817,2,0.0,0.0,2,2,0,2,0,0,0,0,0,0,0
train,20,1.0,3,0,0.022636409798708873,0,0,242,-1.0027793180077396,0,5,494,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,21,0.0,2,1,0.3983504110985067,0,0,181,0.3080170928776245,2,4,268,2,0.0,0.0,2,3,0,2,0,0,0,0,0,0,0
train,22,1.0,2,1,0.32320761083854715,0,0,202,-0.4162482943735053,2,4,68,1,0.0,0.0,2,2,1,1,0,0,0,0,0,0,0
train,23,1.0,3,0,-1.1045055941006847,0,0,378,-0.8999085132952519,1,3,509,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,24,1.0,1,1,-0.12764919072121025,0,0,53,0.6404698891471552,2,4,744,1,0.0,0.0,1,3,1,1,0,0,0,0,0,0,0
train,25,0.0,3,0,-1.6305051959204018,3,1,540,0.08593249815060405,2,3,608,5,0.0,1.0,1,2,0,5,0,0,0,1,0,3,0
train,26,1.0,3,0,0.6237788118783855,1,5,453,0.5086471496092497,2,5,33,7,1.0,0.0,2,3,0,7,0,0,2,0,0,0,0
train,27,0.0,3,1,0.022636409798708873,0,0,237,-1.0027793180077396,0,4,237,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,28,0.0,1,1,-0.8039343930608464,3,2,122,2.822416949927071,2,4,257,6,1.0,0.0,1,4,0,6,0,0,0,0,0,0,0
train,29,1.0,3,0,0.022636409798708873,0,0,384,-0.9183821646445426,1,3,587,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,30,0.0,3,1,0.022636409798708873,0,0,498,-0.9163224516047415,2,4,794,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,31,0.0,1,1,0.7740644123983046,0,0,817,0.3761503720837783,0,4,810,1,0.0,0.0,2,3,1,1,0,0,0,0,0,0,0
train,32,1.0,1,0,0.5486360116184259,1,0,801,2.180637038956044,0,5,755,3,0.0,0.0,2,4,0,3,0,0,0,0,0,0,0
train,33,1.0,3,0,0.022636409798708873,0,0,396,-0.9345460513600208,1,3,287,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,34,0.0,2,1,2.727777219157254,0,0,750,-0.6331710965388939,2,4,838,1,0.0,0.0,3,1,1,1,0,0,0,0,0,0,0
train,35,0.0,1,1,-0.12764919072121025,1,0,819,1.5486794146720926,0,4,520,2,0.0,0.0,1,4,0,2,0,0,0,0,0,0,0
train,36,0.0,1,1,0.9243500129182237,1,0,54,1.0517741972498704,2,4,349,2,0.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,37,1.0,3,1,0.022636409798708873,0,0,271,-1.0022163539847027,0,4,485,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,38,0.0,3,1,-0.6536487925409272,0,0,705,-0.8973710928725647,2,4,124,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,39,0.0,3,0,-0.8790771933208059,2,0,417,-0.07948786500995716,2,3,817,2,0.0,0.0,1,2,0,3,0,0,0,0,0,0,0
train,40,1.0,3,0,-1.1796483943606442,1,0,244,-0.564247818532425,0,3,569,2,0.0,0.0,1,1,0,2,0,0,0,0,0,0,0
train,41,0.0,3,0,0.7740644123983046,1,0,694,-0.7361192001169805,2,5,8,1,0.0,0.0,2,1,0,2,0,0,0,0,0,0,0
train,42,0.0,2,0,-0.20279199098116985,1,0,68,0.08217950756335624,2,5,809,2,0.0,0.0,1,2,0,2,0,0,0,0,0,0,0
train,43,0.0,3,1,0.022636409798708873,0,0,535,-0.9163224516047415,0,4,415,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,44,1.0,2,0,-2.0062191972201995,1,2,867,0.8103529194656702,0,3,428,4,0.0,1.0,0,4,0,4,0,1,0,0,0,0,1
train,45,1.0,3,0,-0.8039343930608464,0,0,383,-0.9183821646445426,1,3,205,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,46,0.0,3,1,0.022636409798708873,0,0,839,-0.8973710928725647,2,4,677,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,47,0.0,3,1,-0.7287915928008868,1,0,636,-0.2350626658987403,1,4,440,2,0.0,0.0,1,2,0,2,0,0,0,0,0,0,0
train,48,1.0,3,0,0.022636409798708873,0,0,99,-0.9345460513600208,1,3,586,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,49,0.0,3,1,-1.029362793840725,2,0,255,0.11570953122014464,0,4,706,3,0.0,0.0,1,2,0,3,0,0,0,0,0,0,0
train,50,0.0,3,0,-0.8790771933208059,1,0,519,-0.09115731432677414,2,5,28,2,0.0,0.0,1,2,0,2,0,0,0,0,0,0,0
train,51,0.0,3,1,-1.7056479961803612,4,1,334,0.7602383782468691,2,2,609,7,0.0,1.0,1,3,0,7,0,0,0,1,0,3,0
train,52,0.0,3,1,-0.6536487925409272,0,0,717,-0.9282625433630336,2,4,576,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,53,1.0,1,0,1.4503496147379407,1,0,802,1.474061287460948,0,5,315,3,0.0,0.0,2,4,0,3,0,0,0,0,0,0,0
train,54,1.0,2,0,-0.0525063904612507,1,0,323,0.3080170928776245,2,5,246,2,0.0,0.0,1,3,0,2,0,0,0,0,0,0,0
train,55,0.0,1,1,2.652634418897294,0,1,39,1.2420129270346139,0,4,601,2,1.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,56,1.0,1,1,0.022636409798708873,0,0,121,0.6404698891471552,2,4,857,1,0.0,0.0,1,3,1,1,0,0,0,0,0,0,0
train,57,1.0,2,0,-0.6536487925409272,0,0,757,-0.6331710965388939,2,3,690,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,58,0.0,3,1,-0.09007779059123049,0,0,291,-1.0022163539847027,0,4,578,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,59,1.0,2,0,-1.8559335967002804,1,2,767,0.37727095438749586,2,3,836,4,0.0,1.0,0,3,0,4,0,1,0,0,0,0,1
train,60,0.0,3,1,-1.405076795140523,5,2,774,0.9402016419508685,2,2,292,8,0.0,1.0,1,4,0,8,0,0,0,1,0,3,0
train,61,0.0,3,1,-0.5785059922809677,0,0,262,-1.0022163539847027,0,4,733,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0
train,63,0.0,1,1,1.1497784136981024,1,0,629,1.5658374830141326,2,4,317,2,0.0,0.0,2,4,0,2,0,0,0,0,0,0,0
train,64,0.0,3,1,-1.93107639696024,3,2,463,0.383009489470084,2,2,739,6,0.0,1.0,0,3,0,6,0,0,0,1,0,4,0
train,65,0.0,1,1,0.022636409798708873,0,0,820,0.3761503720837783,0,4,765,1,0.0,0.0,1,3,1,1,0,0,0,0,0,0,0
train,66,1.0,3,1,-1.4802195954004824,1,1,254,-0.25218396754389893,0,2,543,3,0.0,1.0,1,2,0,3,0,0,0,0,0,0,2
train,67,1.0,2,0,-0.0525063904612507,0,0,754,-0.6331710965388939,2,5,579,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,68,0.0,3,1,-0.8039343930608464,0,0,848,-0.8842529519697204,2,4,178,1,0.0,0.0,1,1,1,1,0,0,0,0,0,0,0
train,69,1.0,3,0,-0.9542199935807656,4,2,333,-0.9127086512392576,2,3,21,1,,,1,1,0,7,0,0,0,0,0,0,0
